tiny_dog,0.125
scientific_illustration,0.097
bygone_age,-0.024
old_books,0.021
long_socks,-0.021
natural_beauty,-0.053
classic_trucks,0.039
shiny_legs,0.166
long_race,-0.042
outdoor_advertising,0.004
crazy_donkey,-0.127
lost_cat,-0.332
funny_stuff,0.156
classic_chevy,0.039
diving_couples,0.125
fluffy_dog,0.125
sticky_rice,-0.054
big_site,0.023
open_tech,-0.053
soft_toy,-0.023
beautiful_clouds,0.488
wild_wings,-0.021
creative_studio,0.035
fat_face,-0.063
high_prairie,0.025
gothic_theatre,-0.041
cold_beer,-0.216
big_boobs,0.023
happy_people,0.324
long_lashes,-0.021
slow_sync,-0.031
sexy_lips,0.446
professional_athlete,0.006
sunny_cove,0.25
cracked_paint,-0.036
dark_tourism,-0.062
open_season,-0.106
wild_touch,-0.043
ultimate_peace,-0.039
fishy_strawberry,-0.062
wet_day,-0.003
big_tree,0.023
abandoned_hospital,-0.195
creative_leadership,0.035
gothic_festival,-0.041
affordable_homes,0.125
spread_wings,0.003
skeletal_mess,0.031
contemporary_culture,0.061
spiritual_blessing,0.545
lovely_people,0.285
popular_library,0.011
empty_beach,0.07
evil_dog,-0.991
popular_music,0.161
stunning_women,0.076
cheap_time,-0.516
liberal_democrats,0.057
electric_locomotive,-0.036
sacred_architecture,0.07
happy_baby,1.148
great_grandmother,0.364
modern_luxury,1.006
model_building,0.196
scenic_landscape,0.031
wonderful_women,0.531
wild_insect,-0.074
teen_night,0.047
fine_wine,0.328
dyed_hair,-0.125
frozen_reality,-0.239
celestial_phenomenon,0.161
magical_place,0.219
antique_glass,-0.013
fantastic_places,0.281
vocal_music,-0.012
tall_trees,-0.062
running_horse,0.005
true_friends,0.871
colourful_flowers,0.004
abandoned_factory,-0.098
hard_park,-0.054
open_window,-0.053
lovely_flowers,0.285
old_course,0.021
big_box,0.069
cracked_mirror,-0.073
secret_beach,0.006
floral_dress,0.005
beautiful_garden,0.488
serious_summer,-0.162
windy_day,-0.117
magic_eye,-0.062
easy_living,0.035
beautiful_day,0.986
old_signs,0.021
abandoned_railroad,-0.098
golden_princess,0.123
endless_book,0.01
medieval_market,-0.003
broken_nails,-0.155
spooky_empire,-0.07
old_highway,0.021
old_advertising,0.021
small_child,-0.156
beautiful_scene,0.977
unanimous_winner,0.529
small_animals,-0.078
medical_team,0.008
crowded_house,0.008
old_vehicles,0.021
great_apes,0.364
gold_medal,-0.004
beautiful_couple,0.977
shattered_faith,-0.25
pretty_flowers,0.246
legal_help,0.06
small_city,-0.078
colourful_life,0.012
beautiful_children,0.488
colorful_background,0.007
silver_jewelry,0.051
scientific_study,0.039
famous_people,0.07
romantic_weekend,0.414
minor_threat,-1.305
global_shop,-0.031
little_beach,-0.056
excellent_flowers,0.75
dramatic_tone,0.09
rainy_day,-0.062
crazy_cat,-0.255
great_stuff,0.729
big_lagoon,0.023
good_friends,1.455
plastic_doll,0.042
calm_sea,0.203
single_flower,-0.136
scenic_highway,0.015
real_talk,-0.025
usual_suspects,0.008
antique_jewelry,-0.026
indoor_events,0.004
outdoor_music,0.161
magic_wings,-0.031
slow_speed,-0.031
